Tháng,Khuếch tán / tổng cộng,12h,13h,14h,15h,16h,17h,18h,19h,Giờ mặt trời mọc / Giờ mặt trời lặn
2,tổng cộng,"70,6","66,4","54,9","39,1","22,4","8,2",-,6h11 / 17h49,
3,khuếch tán,"29,3","28,4","25,8","21,7","15,9","8,5",-,6h02 / 17h58,
3,tổng cộng,"73,5","69,0","57,3","41,4","24,6","10,0",-,6h02 / 17h58,
4,khuếch tán,"34,3","32,4","28,0","21,8","14,7","7,4","0,8",-,5h52 / 18h08
4,tổng cộng,"71,9","67,5","57,5","43,8","28,6","13,9","1,4",-,5h52 / 18h08
5,khuếch tán,"34,0","32,3","28,1","22,2","15,4","8,3","1,7",-,5h43 / 18h17
5,tổng cộng,"62,8","59,4","51,2","39,7","26,7","13,9","2,7",-,5h43 / 18h17
6,khuếch tán,"36,3","34,3","29,3","22,4","14,8","7,6","1,7",-,5h39 / 18h21
6,tổng cộng,"61,3","57,8","48,9","36,7","23,6","11,6","2,4",-,5h39 / 18h21
7,khuếch tán,"34,3","32,7","28,7","22,8","16,0","8,8","2,0",-,5h41 / 18h19
7,tổng cộng,"61,2","57,4","47,7","34,6","21,0","9,4","1,6",-,5h41 / 18h19
8,khuếch tán,"35,1","33,2","29,1","23,3","16,3","8,8","1,4",-,5h48 / 18h12
8,tổng cộng,"64,7","59,8","48,5","33,8","19,0","7,3","0,6",-,5h48 / 18h12
9,khuếch tán,"35,1","33,4","29,0","22,7","15,3","7,6","0,2",-,5h58 / 18h02
9,tổng cộng,"54,7","51,7","43,9","3,2","21,3","9,9","0,3",-,5h58 / 18h02
10,khuếch tán,"31,4","30,1","26,7","21,4","14,8","7,1",-,6h08 / 17h52,
10,tổng cộng,"49,8","47,8","42,3","33,8","23,2","11,1",-,6h08 / 17h52,
11,khuếch tán,"29,1","27,9","24,6","19,5","13,0","5,6",-,6h17 / 17h43,
11,tổng cộng,"54,1","50,7","41,4","28,8","15,8","5,1",-,6h17 / 17h43,
12,khuếch tán,"25,1","24,5","22,4","18,7","13,2","5,8",-,6h21 / 17h39,
12,tổng cộng,"49,2","46,6","39,5","29,2","17,7","6,4",-,6h21 / 17h39,
Trạm Đà Lạt,,,,,,,,,,
1,khuếch tán,"24,9","24,3","22,4","19,1","13,8","6,5",-,6h17 / 17h43,
1,tổng cộng,"71,3","67,9","58,2","44,2","27,7","11,1",-,6h17 / 17h43,
2,khuếch tán,"26,0","25,5","24,0","21,1","15,9","8,3",-,6h10 / 17h50,
2,tổng cộng,"85,8","80,6","66,6","47,5","27,4","10,1",-,6h10 / 17h50,
3,khuếch tán,"29,6","28,6","26,0","21,9","16,0","8,5",-,6h02 / 17h58,
3,tổng cộng,"87,1","81,8","67,9","49,0","29,2","11,9",-,6h02 / 17h58,
4,khuếch tán,"35,2","33,2","28,7","22,3","15,0","7,6","0,8",-,5h53 / 18h07
4,tổng cộng,"80,6","75,6","64,4","49,0","31,9","15,4","1,5",-,5h53 / 18h07
5,khuếch tán,"34,9","33,1","28,8","22,8","15,7","8,4","1,6",-,5h45 / 18h15
5,tổng cộng,"73,2","69,3","59,6","46,1","31,0","16,0","2,9",-,5h45 / 18h15
6,khuếch tán,"36,4","34,5","29,4","22,4","14,7","7,5","1,5",-,5h41 / 18h19
6,tổng cộng,"71,2","67,2","56,8","42,6","27,2","13,3","2,6",-,5h41 / 18h19
7,khuếch tán,"34,8","33,1","28,9","22,8","15,8","8,5","1,8",-,5h43 / 18h17
7,tổng cộng,"68,1","64,3","54,4","40,9","26,2","12,8","2,3",-,5h43 / 18h17
8,khuếch tán,"36,0","34,0","29,4","23,1","15,7","8,1","1,2",-,5h49 / 18h11
8,tổng cộng,"67,6","63,4","53,7","40,6","26,3","12,7","1,7",-,5h49 / 18h11
9,khuếch tán,"32,7","31,4","28,3","23,5","17,1","9,2","0,3",-,5h58 / 18h02
9,tổng cộng,"64,4","60,7","51,3","38,4","24,2","11,0","0,3",-,5h58 / 18h02
10,khuếch tán,"35,4","33,4","28,2","20,8","12,7","5,3",-,6h07 / 17h53,
10,tổng cộng,"66,3","32,9","53,8","40,7","25,9","11,3",-,6h07 / 17h53,
11,khuếch tán,"30,8","29,3","25,2","19,1","12,1","5,0",-,6h15 / 17h45,
11,tổng cộng,"65,4","61,7","51,4","37,2","21,8","8,0",-,6h15 / 17h45,
12,khuếch tán,"23,7","23,3","21,9","19,1","14,1","6,6",-,6h19 / 17h41,
12,tổng cộng,"65,9","62,4","52,6","38,7","23,2","8,5",-,6h19 / 17h41,
Trạm Phan Thiết,,,,,,,,,,
1,khuếch tán,"26,0","25,3","23,0","19,1","13,6","6,3",-,6h16 / 17h44,
1,tổng cộng,"87,5","82,5","68,7","49,6","29,0","10,5",-,6h16 / 17h44,
2,khuếch tán,"29,5","28,3","25,1","20,2","13,9","6,6",-,6h09 / 17h51,
2,tổng cộng,"86,7","82,7","71,7","55,6","36,4","16,3",-,6h09 / 17h51,
3,khuếch tán,"30,1","29,1","26,6","22,4","16,5","8,8",-,6h02 / 17h58,
3,tổng cộng,"91,7","86,8","74,1","56,3","36,3","16,7",-,6h02 / 17h58,
4,khuếch tán,"31,8","30,2","27,0","22,1","15,9","8,7","0,9",-,5h53 / 18h07
4,tổng cộng,"84,0","78,9","67,4","51,7","34,0","16,6","1,5",-,5h53 / 18h07
5,khuếch tán,"31,8","30,4","27,0","21,9","15,7","8,8","1,6",-,5h46 / 18h14
5,tổng cộng,"74,4","70,2","59,7","45,3","29,5","14,5","2,3",-,5h46 / 18h14
6,khuếch tán,"33,3","31,7","27,7","21,9","15,1","8,2","1,7",-,5h43 / 18h17
6,tổng cộng,"90,1","83,9","67,8","46,6","25,5","9,1","0,7",-,5h43 / 18h17
7,khuếch tán,"33,2","31,7","27,7","22,0","15,3","8,3","1,6",-,5h44 / 18h16
7,tổng cộng,"75,0","70,3","58,3","42,2","25,4","11,1","1,6",-,5h44 / 18h16
8,khuếch tán,"34,2","32,5","28,5","22,7","15,8","8,4","1,1",-,5h50 / 18h10
8,tổng cộng,"84,0","77,8","63,1","43,9","24,5","9,2","0,7",-,5h50 / 18h10
9,khuếch tán,"34,5","32,8","28,4","22,2","15,0","7,4","0,2",-,5h58 / 18h02
9,tổng cộng,"82,2","77,4","65,7","49,7","31,8","14,7","0,4",-,5h58 / 18h02
10,khuếch tán,"32,3","30,8","26,7","20,6","13,5","6,2",-,6h07 / 17h53,
10,tổng cộng,"85,2","80,2","66,9","48,7","29,1","11,7",-,6h07 / 17h53,
11,khuếch tán,"30,2","28,8","24,7","18,8","11,9","4,9",-,6h14 / 17h46,
11,tổng cộng,"75,5","71,8","61,5","46,5","29,3","12,0",-,6h14 / 17h46,
12,khuếch tán,"27,5","26,3","22,9","17,8","11,6","4,8",-,6h17 / 17h43,
12,tổng cộng,"81,1","76,6","64,2","46,7","27,6","10,1",-,6h17 / 17h43,
Trạm Tân Sơn Nhất,,,,,,,,,,
1,khuếch tán,"26,1","25,3","23,0","19,2","13,6","6,3",-,6h16 / 17h44,
1,tổng cộng,"61,3","57,7","48,1","34,7","20,3","7,4",-,6h16 / 17h44,
2,khuếch tán,"29,6","28,5","25,2","20,3","13,9","6,6",-,6h09 / 17h51,
2,tổng cộng,"65,7","52,7","54,3","42,1","27,6","12,4",-,6h09 / 17h51,
3,khuếch tán,"29,5","28,6","26,1","22,0","16,2","8,7",-,6h02 / 17h58,
3,tổng cộng,"71,9","68,1","58,1","44,2","28,5","13,1",-,6h02 / 17h58,
4,khuếch tán,"32,3","30,7","27,4","22,5","16,2","8,8","0,9",-,5h53 / 18h07
4,tổng cộng,"70,0","65,7","56,1","43,0","28,3","13,8","1,2",-,5h53 / 18h07
5,khuếch tán,"33,1","31,7","28,1","22,8","16,4","9,1","1,7",-,5h46 / 18h14
5,tổng cộng,"61,8","58,4","49,6","37,7","24,5","12,1","1,9",-,5h46 / 18h14
6,khuếch tán,"34,2","32,6","28,4","22,5","15,5","8,4","1,7",-,5h43 / 18h17
6,tổng cộng,"65,9","61,4","49,6","34,1","18,6","6,7","0,5",-,5h43 / 18h17
7,khuếch tán,"34,0","32,4","28,3","22,5","15,7","8,5","1,7",-,5h44 / 18h16
7,tổng cộng,"62,0","58,1","48,2","34,9","21,0","9,2","1,3",-,5h44 / 18h16
8,khuếch tán,"34,8","33,0","28,9","23,0","16,0","8,5","1,2",-,5h50 / 18h10
8,tổng cộng,"66,9","61,9","50,2","34,9","19,5","7,3","0,5",-,5h50 / 18h10
9,khuếch tán,"35,4","33,6","29,1","22,8","15,4","7,6","0,2",-,5h58 / 18h02
9,tổng cộng,"56,6","53,3","45,3","34,2","21,9","10,1","0,2",-,5h58 / 18h02
10,khuếch tán,"33,3","31,7","27,5","21,2","13,9","6,4",-,6h07 / 17h53,
10,tổng cộng,"58,8","55,4","46,2","33,6","20,1","8,1",-,6h07 / 17h53,
11,khuếch tán,"30,7","29,3","25,1","19,1","12,1","5,0",-,6h14 / 17h46,
11,tổng cộng,"54,5","51,8","44,3","33,5","21,1","8,7",-,6h14 / 17h46,
12,khuếch tán,"27,9","26,7","23,3","18,2","11,8","4,9",-,6h17 / 17h43,
12,tổng cộng,"55,3","32,2","43,8","31,8","18,8","6,9",-,6h17 / 17h43,
Trạm Sóc Trăng,,,,,,,,,,
1,khuếch tán,"28,0","26,9","23,8","18,9","12,7","5,7",-,6h14 / 17h46,
1,tổng cộng,"67,1","63,8","54,8","41,7","26,5","11,0",-,6h14 / 17h46,
2,khuếch tán,"29,2","28,1","25,2","20,6","14,4","7,0",-,6h08 / 17h52,
2,tổng cộng,"79,2","74,9","63,5","47,3","29,3","12,3",-,6h08 / 17h52,
3,khuếch tán,"30,8","29,6","26,5","21,8","15,5","8,1",-,6h02 / 17h58,
3,tổng cộng,"82,3","77,6","65,6","49,0","30,8","13,6",-,6h02 / 17h58,
4,khuếch tán,"32,4","30,8","27,4","22,3","15,9","8,6","0,8",-,5h54 / 18h06
4,tổng cộng,"84,0","78,2","65,4","48,2","29,9","13,4","1,0",-,5h54 / 18h06
5,khuếch tán,"33,7","32,2","28,3","22,8","16,0","8,7","1,5",-,5h48 / 18h12
5,tổng cộng,"65,7","61,7","51,6","38,0","23,6","10,8","1,4",-,5h48 / 18h12
6,khuếch tán,"33,7","32,2","28,2","22,5","15,7","8,5","1,7",-,5h44 / 18h16
6,tổng cộng,"59,4","56,1","47,6","35,9","23,1","11,3","1,9",-,5h44 / 18h16
7,khuếch tán,"33,4","32,0","28,1","22,5","15,8","8,7","1,6",-,5h46 / 18h14
7,tổng cộng,"62,1","58,7","50,0","37,9","24,5","12,1","1,9",-,5h46 / 18h14
8,khuếch tán,"34,8","33,1","29,0","23,1","16,1","8,5","1,1",-,5h51 / 18h09
8,tổng cộng,"63,8","60,0","50,9","38,4","24,7","11,9","1,3",-,5h51 / 18h09
9,khuếch tán,"35,6","33,8","29,3","23,0","15,5","7,7","0,2",-,5h58 / 18h02
9,tổng cộng,"64,2","59,8","49,0","34,7","20,0","7,8","0,1",-,5h58 / 18h02
10,khuếch tán,"33,8","32,2","27,9","21,7","14,3","6,6",-,6h06 / 17h54,
10,tổng cộng,"60,6","57,0","47,6","34,5","20,6","8,3",-,6h06 / 17h54,
11,khuếch tán,"29,7","28,5","25,0","19,8","13,3","6,0",-,6h12 / 17h48,
11,tổng cộng,"61,4","58,4","50,2","38,3","24,4","10,4",-,6h12 / 17h48,
12,khuếch tán,"27,7","26,7","23,7","19,1","13,0","5,8",-,6h16 / 17h44,
12,tổng cộng,"59,3","56,6","49,0","37,9","24,4","10,2",-,6h16 / 17h44,
Trạm Rạch Giá,,,,,,,,,,
1,khuếch tán,"27,9","26,8","23,7","18,8","12,6","5,5",-,6h15 / 17h45,
1,tổng cộng,"55,8","53,1","45,6","34,6","21,9","8,9",-,6h15 / 17h45,
2,khuếch tán,"29,5","28,5","25,5","20,8","14,5","7,0",-,6h09 / 17h51,
2,tổng cộng,"66,5","62,9","53,3","39,7","24,5","10,2",-,6h09 / 17h51,
3,khuếch tán,"31,0","29,8","26,7","21,9","15,7","8,1",-,6h02 / 17h58,
3,tổng cộng,"67,4","63,6","53,8","40,2","25,2","11,2",-,6h02 / 17h58,
4,khuếch tán,"32,7","31,1","27,6","22,5","16,1","8,7","0,9",-,5h53 / 18h07
4,tổng cộng,"72,0","67,1","56,1","41,4","25,7","11,6","0,9",-,5h53 / 18h07
5,khuếch tán,"32,8","31,4","27,9","22,7","16,2","9,1","1,7",-,5h46 / 18h14
5,tổng cộng,"62,9","59,4","50,5","38,3","24,9","12,3","1,9",-,5h46 / 18h14
6,khuếch tán,"34,3","32,7","28,5","22,5","15,5","8,4","1,7",-,5h43 / 18h17
6,tổng cộng,"65,1","60,6","49,0","33,7","18,4","6,6","0,5",-,5h43 / 18h17
7,khuếch tán,"33,5","32,0","28,2","22,6","15,9","8,8","1,9",-,5h44 / 18h16
7,tổng cộng,"56,9","53,8","45,8","34,7","22,6","11,2","2,0",-,5h44 / 18h16
8,khuếch tán,"34,9","33,1","29,0","23,2","16,1","8,6","1,2",-,5h50 / 18h10
8,tổng cộng,"58,7","55,2","46,8","35,4","22,9","11,0","1,3",-,5h50 / 18h10
9,khuếch tán,"35,4","33,6","29,1","22,8","15,4","7,6","0,2",-,5h58 / 18h02
9,tổng cộng,"56,6","53,3","45,3","34,2","21,9","10,1","0,2",-,5h58 / 18h02
10,khuếch tán,"33,4","31,8","27,5","21,3","14,0","6,4",-,6h07 / 17h53,
10,tổng cộng,"58,0","54,6","45,6","33,2","19,8","8,0",-,6h07 / 17h53,
11,khuếch tán,"29,4","28,2","24,8","19,6","13,1","5,8",-,6h14 / 17h46,
11,tổng cộng,"53,4","50,9","43,7","33,3","21,2","8,8",-,6h14 / 17h46,
12,khuếch tán,"27,0","26,0","23,1","18,5","12,5","5,5",-,6h17 / 17h43,
12,tổng cộng,"52,5","50,1","43,4","33,4","21,5","8,8",-,6h17 / 17h43,
Trạm Cà Mau,,,,,,,,,,
1,khuếch tán,"28,2","27,1","23,9","19,0","12,8","5,7",-,6h14 / 17h46,
1,tổng cộng,"65,1","61,9","53,2","40,5","25,7","10,7",-,6h14 / 17h46,
2,khuếch tán,"29,5","28,4","25,5","20,8","14,6","7,1",-,6h08 / 17h52,
2,tổng cộng,"74,5","70,5","59,7","44,5","27,6","11,6",-,6h08 / 17h52,
3,khuếch tán,"31,0","29,8","26,7","21,9","15,6","8,1",-,6h02 / 17h58,
3,tổng cộng,"77,7","73,3","61,9","46,2","29,0","12,9",-,6h02 / 17h58,
4,khuếch tán,"33,0","31,3","27,8","22,6","16,1","8,7","0,8",-,5h54 / 18h06
4,tổng cộng,"79,5","74,0","61,9","45,6","28,3","12,6","0,9",-,5h54 / 18h06
5,khuếch tán,"33,9","32,4","28,5","22,9","16,1","8,8","1,5",-,5h48 / 18h12
5,tổng cộng,"63,7","59,8","50,1","36,9","22,9","10,4","1,4",-,5h48 / 18h12
6,khuếch tán,"33,7","32,2","28,2","22,5","15,7","8,5","1,7",-,5h44 / 18h16
6,tổng cộng,"58,5","55,3","47,0","35,4","22,8","11,1","1,9",-,5h44 / 18h16
7,khuếch tán,"33,6","32,1","28,2","22,6","15,9","8,7","1,6",-,5h46 / 18h14
7,tổng cộng,"61,7","58,4","49,7","37,6","24,4","12,0","1,9",-,5h46 / 18h14
8,khuếch tán,"34,9","33,1","29,0","23,1","16,1","8,5","1,1",-,5h51 / 18h09
8,tổng cộng,"62,3","58,6","49,7","37,5","24,2","11,6","1,3",-,5h51 / 18h09
9,khuếch tán,"32,9","31,6","28,5","23,6","17,1","9,2","0,2",-,5h58 / 18h02
9,tổng cộng,"61,1","57,4","48,5","36,3","22,9","10,3","0,2",-,5h58 / 18h02
10,khuếch tán,"33,9","32,3","28,0","21,8","14,4","6,6",-,6h06 / 17h54,
10,tổng cộng,"60,8","57,2","47,7","34,7","20,7","8,3",-,6h06 / 17h54,
11,khuếch tán,"30,1","28,9","25,4","20,1","13,5","6,1",-,6h12 / 17h48,
11,tổng cộng,"60,1","57,2","49,2","37,5","24,0","10,2",-,6h12 / 17h48,
12,khuếch tán,"27,8","26,8","23,8","19,1","13,0","5,8",-,6h15 / 17h45,
12,tổng cộng,"59,0","56,3","48,8","37,7","24,3","10,2",-,6h15 / 17h45,
